px	py	pz	anchor
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
-nan	-nan	-nan	F
