trial	goodness
trial21	1.592
trial8	1.5930000000000002
trial1	1.5919999999999999
trial11	1.594
trial9	1.592
trial5	1.592
trial6	1.595
trial3	1.5919999999999999
trial12	1.594
trial15	1.594
trial10	1.594
trial19	1.5919999999999999
trial2	1.554
trial4	1.417
trial7	1.252
trial13	1.585
trial14	1.362
trial16	1.441
trial17	0.973
trial18	1.579
trial20	1.346
trial22	1.563
