px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.081	0.742	0.013	F
0.033	0.708	0.069	F
-0.229	0.724	-0.046	F
-0.007	0.734	-0.034	F
-0.171	0.628	-0.096	F
0.322	0.642	-0.475	F
-0.149	0.522	-0.295	F
-0.077	0.716	-0.014	F
0.055	0.812	-0.445	F
0.324	0.750	-0.276	F
0.302	0.677	-0.400	F
0.239	0.987	-0.126	F
0.394	0.643	0.038	F
0.378	1.051	-0.224	F
-0.004	0.736	-0.015	F
-0.011	0.770	-0.550	F
0.230	0.561	-0.074	F
0.031	0.743	0.029	F
0.227	1.094	-0.021	F
-0.295	1.053	0.089	F
-0.046	0.586	0.335	F
-0.214	1.110	-0.173	F
0.375	0.335	-0.377	F
0.254	0.589	0.218	F
