px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.223	0.811	0.074	F
-0.505	0.727	-0.634	F
0.116	0.729	0.047	F
-0.231	0.788	0.061	F
-0.048	0.546	0.401	F
-0.217	0.857	0.236	F
-0.415	0.300	-0.314	F
-0.599	0.647	-0.123	F
-0.324	0.581	-0.327	F
0.048	0.536	-0.311	F
-0.205	0.371	-0.041	F
0.008	0.749	-0.059	F
-0.660	0.672	-0.305	F
-0.457	0.757	0.241	F
0.065	0.707	0.144	F
-0.041	0.748	0.022	F
-0.070	0.611	-0.201	F
-0.066	0.376	0.400	F
-0.080	0.874	-0.602	F
-0.352	0.626	-0.709	F
-nan	-nan	-nan	F
-0.007	0.732	0.003	F
0.402	0.587	-0.289	F
-0.294	0.847	0.665	F
