px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.090	0.730	0.039	F
-0.154	0.826	0.153	F
0.246	0.887	0.008	F
-0.040	0.568	0.369	F
0.078	0.765	-0.223	F
0.584	0.719	-0.071	F
0.855	0.453	0.184	F
0.465	0.507	0.209	F
0.036	0.682	0.195	F
0.071	1.037	-0.026	F
0.174	0.946	-0.203	F
0.436	0.890	0.017	F
0.069	0.701	-0.365	F
-0.557	0.917	-0.122	F
-0.025	0.729	-0.017	F
0.226	0.680	-0.051	F
0.191	0.692	-0.303	F
0.438	1.592	-0.121	F
0.530	0.955	-0.233	F
-0.146	0.564	-0.220	F
0.543	0.913	0.038	F
0.054	0.740	-0.002	F
-0.120	0.752	-0.066	F
0.237	0.682	-0.457	F
