px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.030	0.757	0.138	F
0.058	0.731	-0.049	F
0.054	0.739	0.107	F
0.197	0.511	0.316	F
-0.144	0.690	-0.039	F
-0.189	0.677	-0.047	F
-0.125	0.498	-0.353	F
0.297	0.886	-0.140	F
-0.103	0.722	0.119	F
0.356	0.779	0.293	F
-0.142	0.689	-0.193	F
-0.004	0.731	0.013	F
-0.044	0.734	-0.147	F
0.171	0.750	0.024	F
0.178	0.766	-0.316	F
-0.119	0.455	0.350	F
0.234	0.552	0.240	F
-0.112	0.705	-0.142	F
-0.194	0.509	0.272	F
-0.017	0.825	0.337	F
0.048	0.733	-0.026	F
0.056	0.725	0.017	F
-0.510	0.447	0.208	F
-0.010	0.724	0.066	F
