px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.083	0.741	0.058	F
-0.151	0.824	0.150	F
0.233	0.896	-0.002	F
-0.042	0.563	0.378	F
0.093	0.757	-0.219	F
0.586	0.719	-0.070	F
0.860	0.449	0.186	F
0.472	0.530	0.208	F
0.036	0.683	0.193	F
0.083	1.035	-0.050	F
0.201	0.905	-0.207	F
0.442	0.892	0.010	F
0.060	0.685	-0.363	F
-0.554	0.916	-0.123	F
-0.031	0.729	-0.020	F
0.232	0.688	-0.053	F
0.198	0.624	-0.282	F
0.430	1.594	-0.159	F
0.505	0.952	-0.253	F
-0.166	0.582	-0.154	F
0.556	0.915	0.040	F
0.052	0.740	-0.001	F
-0.119	0.752	-0.066	F
0.262	0.754	-0.454	F
