px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.916	0.892	-0.253	F
-0.531	0.755	-0.596	F
-0.150	0.822	0.156	F
-0.344	0.802	0.086	F
-0.064	0.530	0.431	F
-0.337	0.897	0.333	F
-0.472	0.364	-0.104	F
-0.783	0.573	-0.169	F
-0.429	0.641	-0.162	F
-0.086	0.443	-0.149	F
-0.677	0.607	-0.075	F
-0.006	0.730	0.005	F
-0.583	0.578	-0.030	F
-0.137	0.441	0.575	F
-0.004	0.758	0.261	F
-0.256	0.796	0.082	F
-0.130	0.651	-0.097	F
-0.240	0.448	0.348	F
-0.034	0.845	-0.461	F
-0.353	0.755	-0.456	F
0.065	1.434	0.311	F
0.008	0.732	-0.003	F
-0.183	0.599	0.399	F
-0.278	0.818	0.762	F
