px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.707	0.933	0.027	F
-0.419	0.642	-0.734	F
-0.111	0.731	-0.024	F
-0.308	0.799	0.081	F
0.011	0.565	0.325	F
-0.305	0.887	0.301	F
-0.500	0.299	-0.176	F
-0.747	0.590	-0.157	F
-0.271	0.703	-0.254	F
-0.002	0.526	-0.299	F
-0.594	0.558	-0.046	F
0.006	0.753	-0.073	F
-0.768	0.675	-0.397	F
-0.596	0.286	0.056	F
-0.071	0.780	0.118	F
-0.134	0.772	0.046	F
-0.236	0.609	-0.226	F
-0.230	0.476	0.311	F
-0.489	0.795	-0.720	F
-0.174	0.612	-0.604	F
-0.238	1.555	0.297	F
-0.004	0.731	0.003	F
0.008	0.838	-0.467	F
-0.184	0.792	0.716	F
