px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.865	0.916	-0.151	F
-0.508	0.740	-0.616	F
-0.245	0.831	0.169	F
-0.369	0.805	0.095	F
-0.059	0.534	0.425	F
-0.326	0.895	0.329	F
-0.414	0.381	-0.177	F
-0.793	0.568	-0.170	F
-0.419	0.764	-0.452	F
-0.079	0.431	-0.128	F
-0.600	0.606	-0.100	F
-0.012	0.725	0.017	F
-0.558	0.548	0.034	F
-0.136	0.431	0.588	F
0.015	0.748	0.254	F
-0.246	0.795	0.079	F
-0.130	0.663	-0.098	F
-0.240	0.446	0.351	F
0.216	0.762	-0.202	F
-0.334	0.614	-0.718	F
-0.366	1.563	0.380	F
0.005	0.732	-0.007	F
-0.113	0.584	0.382	F
-0.354	0.848	0.751	F
