px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.988	0.928	-0.098	F
-0.563	0.743	-0.617	F
-0.185	0.763	0.029	F
-0.385	0.807	0.104	F
-0.088	0.520	0.461	F
-0.368	0.905	0.358	F
-0.528	0.389	0.098	F
-0.830	0.551	-0.176	F
-0.390	0.727	-0.195	F
-0.098	0.479	-0.222	F
-0.775	0.610	0.058	F
-0.008	0.731	-0.000	F
-0.628	0.595	-0.079	F
-0.497	0.260	0.341	F
-0.065	0.782	0.423	F
-0.223	0.791	0.073	F
-0.379	0.657	-0.151	F
-0.240	0.460	0.331	F
-0.595	0.732	-0.601	F
-0.335	0.705	-0.554	F
-0.231	1.558	0.282	F
0.003	0.732	0.001	F
-0.263	0.292	-0.288	F
-0.243	0.804	0.764	F
