px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.108	0.703	-0.003	F
-0.139	0.818	0.140	F
0.215	0.903	-0.021	F
-0.037	0.575	0.356	F
0.097	0.761	-0.243	F
0.572	0.722	-0.071	F
0.855	0.455	0.185	F
0.466	0.547	0.200	F
0.027	0.695	0.156	F
0.053	1.005	-0.041	F
0.176	0.942	-0.223	F
0.445	0.898	0.013	F
0.085	0.678	-0.389	F
-0.597	0.923	-0.128	F
-0.030	0.729	-0.022	F
0.250	0.688	-0.046	F
0.183	0.678	-0.325	F
0.438	1.592	-0.192	F
0.476	0.947	-0.273	F
-0.146	0.578	-0.192	F
0.538	0.912	0.039	F
0.045	0.739	0.005	F
-0.126	0.753	-0.069	F
0.304	0.743	-0.447	F
