px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.100	0.717	0.017	F
-0.139	0.818	0.139	F
0.214	0.904	-0.020	F
-0.039	0.571	0.363	F
0.094	0.761	-0.240	F
0.575	0.721	-0.069	F
0.853	0.454	0.184	F
0.465	0.533	0.171	F
0.028	0.693	0.160	F
0.066	1.020	-0.038	F
0.178	0.940	-0.218	F
0.445	0.893	0.010	F
0.079	0.686	-0.383	F
-0.573	0.920	-0.128	F
-0.032	0.728	-0.022	F
0.244	0.688	-0.045	F
0.190	0.683	-0.320	F
0.435	1.594	-0.185	F
0.479	0.948	-0.275	F
-0.150	0.577	-0.185	F
0.538	0.912	0.038	F
0.046	0.739	0.005	F
-0.127	0.753	-0.069	F
0.296	0.746	-0.448	F
