px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.044	0.774	0.247	F
0.060	0.732	-0.060	F
0.031	0.737	0.086	F
0.241	0.535	0.285	F
-0.148	0.690	-0.017	F
-0.175	0.684	-0.011	F
-0.166	0.478	-0.364	F
0.303	0.892	-0.179	F
-0.077	0.719	0.130	F
0.342	0.780	0.298	F
-0.136	0.692	-0.185	F
0.004	0.732	-0.004	F
-0.065	0.731	-0.108	F
0.181	0.751	0.016	F
0.164	0.764	-0.316	F
-0.029	0.473	0.350	F
0.261	0.537	0.245	F
0.081	0.742	0.159	F
-0.150	0.525	0.284	F
0.072	0.577	-0.320	F
0.073	0.733	-0.011	F
-0.007	0.731	-0.083	F
-0.489	0.460	0.214	F
-0.008	0.727	0.028	F
