px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.000	0.732	-0.000	F
0.516	0.281	-0.150	F
0.062	0.733	-0.086	F
0.074	0.810	-0.471	F
0.237	0.548	-0.128	F
0.204	0.352	-0.217	F
0.355	0.211	-0.361	F
0.383	0.468	0.082	F
0.784	0.681	-0.539	F
0.109	0.799	-0.764	F
0.398	0.455	0.092	F
0.221	0.706	-0.288	F
0.280	0.686	-0.369	F
0.412	0.132	0.012	F
0.288	0.817	-0.027	F
0.204	0.815	0.051	F
0.447	0.218	-0.450	F
-0.244	0.469	-0.273	F
-0.180	0.838	0.177	F
0.314	0.377	-0.409	F
0.631	0.210	0.110	F
0.098	0.670	0.108	F
0.099	0.787	-0.092	F
0.204	0.618	0.023	F
