px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.511	0.810	0.136	F
0.129	0.758	-0.150	F
0.122	0.668	-0.167	F
0.061	0.734	0.035	F
-0.460	0.887	-0.154	F
0.019	0.496	-0.335	F
-0.540	0.810	-0.442	F
-0.029	0.731	-0.005	F
-0.120	0.752	-0.059	F
0.217	0.542	-0.207	F
-0.381	0.330	-0.526	F
-0.248	0.805	-0.163	F
-0.058	0.730	0.071	F
-0.020	0.701	-0.196	F
0.254	0.530	-0.191	F
0.136	0.792	0.155	F
-0.019	0.728	-0.031	F
0.226	0.601	0.223	F
-0.302	0.876	0.219	F
-0.184	0.659	-0.544	F
-0.266	0.791	0.074	F
-0.085	0.746	0.154	F
-0.261	0.640	0.379	F
-0.152	0.553	-0.272	F
