px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.075	0.738	0.049	F
-0.061	0.773	0.062	F
0.222	0.873	-0.048	F
-0.041	0.561	0.380	F
0.309	0.605	-0.117	F
0.539	0.702	-0.019	F
0.870	0.442	0.188	F
0.478	0.545	0.205	F
0.032	0.688	0.179	F
0.257	0.932	-0.191	F
0.181	0.705	-0.270	F
0.493	0.903	0.024	F
0.011	0.597	-0.353	F
0.296	0.378	-0.440	F
-0.030	0.728	-0.020	F
0.332	0.686	0.036	F
0.269	0.410	-0.243	F
0.149	1.441	-0.521	F
0.499	0.952	-0.269	F
-0.007	0.780	0.204	F
0.739	0.937	0.052	F
0.058	0.740	-0.002	F
-0.125	0.752	-0.068	F
0.447	0.678	-0.347	F
