px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.903	0.914	-0.167	F
-0.530	0.720	-0.647	F
-0.190	0.764	0.030	F
-0.373	0.806	0.099	F
-0.097	0.515	0.473	F
-0.353	0.900	0.339	F
-0.539	0.382	0.111	F
-0.819	0.556	-0.175	F
-0.325	0.738	-0.233	F
-0.081	0.468	-0.196	F
-0.718	0.558	0.049	F
-0.011	0.725	0.022	F
-0.621	0.578	-0.041	F
-0.481	0.261	0.367	F
-0.054	0.775	0.428	F
-0.259	0.797	0.083	F
-0.363	0.648	-0.164	F
-0.240	0.456	0.337	F
-0.669	0.689	-0.562	F
-0.299	0.676	-0.585	F
-0.436	1.564	0.398	F
0.002	0.732	0.002	F
-0.207	0.315	-0.352	F
-0.381	0.856	0.752	F
