px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.507	1.474	0.078	F
0.023	0.351	0.277	F
0.275	1.095	0.057	F
0.719	0.338	0.136	F
0.604	0.427	-0.041	F
0.507	0.463	0.323	F
0.690	1.333	0.743	F
0.216	0.799	-0.068	F
0.311	0.530	0.064	F
0.182	0.579	0.058	F
nan	nan	nan	F
0.463	0.715	-0.007	F
0.209	0.091	-0.376	F
0.770	0.583	0.270	F
0.467	0.824	0.273	F
0.319	0.895	0.601	F
0.607	0.204	-0.029	F
0.417	0.762	0.052	F
0.432	0.640	0.117	F
0.569	0.723	0.402	F
0.458	0.507	-0.717	F
0.887	0.221	0.407	F
0.065	0.877	0.364	F
0.000	0.732	0.002	F
