px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.045	0.738	0.061	F
0.350	0.631	0.006	F
-0.129	0.727	0.003	F
-0.278	0.846	-0.047	F
0.137	0.690	-0.037	F
-0.042	0.737	-0.036	F
0.229	0.749	0.076	F
0.038	0.601	-0.360	F
-0.020	0.713	0.098	F
-0.072	0.503	0.397	F
0.017	0.672	0.247	F
-0.073	0.737	0.020	F
-0.072	0.659	-0.323	F
0.004	0.721	-0.127	F
-0.108	0.693	-0.182	F
0.088	0.727	0.013	F
-0.016	0.735	-0.040	F
0.033	0.735	-0.050	F
-0.110	0.740	0.232	F
0.164	0.645	0.273	F
0.022	0.743	0.139	F
0.148	0.764	-0.212	F
0.098	0.746	0.193	F
-0.307	0.830	0.078	F
