px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.023	0.794	0.122	F
-0.159	0.827	0.153	F
0.172	0.879	-0.117	F
-0.047	0.556	0.390	F
0.082	0.755	-0.196	F
0.023	0.975	-0.706	F
0.840	0.462	0.181	F
0.464	0.532	0.168	F
0.044	0.677	0.204	F
0.148	0.994	-0.042	F
0.240	0.797	-0.099	F
0.523	0.910	0.016	F
-0.226	0.827	-0.265	F
-0.525	0.912	-0.118	F
-0.131	0.733	-0.035	F
0.266	0.734	0.014	F
0.120	0.649	-0.333	F
0.462	1.563	-0.109	F
0.444	0.942	-0.311	F
-0.180	0.616	-0.045	F
0.469	0.899	0.031	F
0.024	0.735	-0.001	F
-0.119	0.751	-0.067	F
0.262	0.812	-0.404	F
