px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.933	0.906	-0.205	F
-0.495	0.736	-0.619	F
-0.207	0.838	0.187	F
-0.350	0.803	0.085	F
-0.059	0.535	0.423	F
-0.343	0.899	0.340	F
-0.486	0.380	-0.039	F
-0.792	0.569	-0.169	F
-0.428	0.646	-0.233	F
-0.095	0.444	-0.152	F
-0.710	0.608	-0.035	F
-0.005	0.732	-0.001	F
-0.575	0.579	-0.031	F
-0.136	0.442	0.573	F
-0.004	0.759	0.268	F
-0.255	0.796	0.082	F
-0.124	0.684	-0.106	F
-0.240	0.451	0.344	F
0.031	0.804	-0.322	F
-0.252	0.676	-0.546	F
-0.423	1.565	0.341	F
0.006	0.732	-0.010	F
-0.156	0.618	0.354	F
-0.253	0.808	0.764	F
