px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.000	0.732	0.001	F
0.516	0.284	-0.144	F
0.065	0.733	-0.090	F
0.077	0.809	-0.472	F
0.233	0.554	-0.119	F
0.176	0.331	-0.186	F
0.352	0.208	-0.366	F
0.381	0.472	0.091	F
0.799	0.698	-0.512	F
0.109	0.799	-0.761	F
0.399	0.454	0.093	F
0.223	0.705	-0.291	F
0.281	0.686	-0.370	F
0.422	0.139	0.007	F
0.259	0.816	-0.017	F
0.204	0.813	0.043	F
0.448	0.217	-0.450	F
-0.242	0.470	-0.273	F
-0.179	0.837	0.175	F
0.317	0.379	-0.400	F
0.631	0.209	0.112	F
0.087	0.656	0.128	F
0.100	0.791	-0.088	F
0.205	0.618	0.022	F
