px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.258	0.610	-0.224	F
-0.452	0.687	-0.096	F
0.025	0.807	-0.220	F
0.004	0.731	0.000	F
-0.122	0.479	0.324	F
0.057	0.738	-0.006	F
-0.028	0.748	-0.087	F
0.000	0.722	0.049	F
0.158	0.722	0.027	F
0.152	0.555	-0.246	F
-0.336	0.443	-0.183	F
-0.231	0.634	0.250	F
0.256	0.777	0.240	F
-0.445	0.500	0.175	F
-0.093	0.902	0.376	F
-0.058	0.739	0.032	F
-0.371	0.490	-0.037	F
0.039	0.668	0.181	F
-0.372	0.508	0.158	F
-0.012	0.746	-0.102	F
-0.080	0.736	-0.058	F
-0.096	0.778	0.489	F
0.035	0.612	-0.263	F
-0.091	0.685	0.172	F
