px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.152	0.536	0.290	F
0.212	0.742	0.097	F
0.188	0.620	0.197	F
0.150	1.137	0.109	F
0.023	0.728	0.049	F
-0.155	0.946	0.508	F
-0.035	0.693	-0.210	F
-0.243	0.836	-0.028	F
-0.041	0.747	-0.117	F
-0.085	0.731	-0.018	F
-0.130	0.860	-0.288	F
0.105	0.693	0.052	F
-0.062	0.782	0.422	F
0.002	0.733	-0.008	F
-0.376	0.806	0.114	F
0.312	0.546	0.263	F
0.213	0.678	0.002	F
-0.339	0.492	0.078	F
0.092	0.752	0.043	F
-0.130	0.651	0.257	F
0.058	0.745	-0.042	F
-0.026	0.726	-0.042	F
-0.009	0.732	0.003	F
0.057	0.806	-0.346	F
