px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.103	0.732	0.064	F
-0.106	0.724	-0.244	F
0.148	0.715	0.145	F
0.093	0.817	-0.495	F
0.041	0.692	0.141	F
0.246	0.696	-0.335	F
0.002	0.731	-0.048	F
0.363	0.919	-0.332	F
-0.245	0.827	-0.183	F
-0.054	0.757	-0.172	F
-0.056	0.745	-0.070	F
-0.005	0.747	-0.095	F
-0.147	0.686	-0.009	F
0.047	0.731	0.013	F
0.070	0.811	-0.515	F
0.197	1.077	-0.204	F
0.321	0.547	0.255	F
0.026	0.732	-0.001	F
-0.016	0.610	0.298	F
0.127	0.845	0.255	F
-0.000	0.731	0.027	F
-0.190	0.630	0.277	F
0.075	0.816	-0.250	F
0.317	0.685	0.053	F
