px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.034	0.826	0.376	F
-0.053	0.732	-0.008	F
0.129	0.677	0.341	F
0.139	0.725	0.013	F
-0.303	0.572	-0.280	F
-0.277	0.828	0.152	F
-0.055	0.723	-0.048	F
-0.216	0.823	-0.184	F
0.202	0.676	0.080	F
0.044	0.723	0.021	F
-0.065	0.744	-0.069	F
0.005	0.737	-0.021	F
-0.300	0.760	0.003	F
-0.329	0.446	0.102	F
-0.079	0.683	-0.220	F
0.059	0.729	0.034	F
-0.058	0.764	-0.294	F
-0.125	0.748	0.105	F
-0.000	0.732	0.025	F
-0.358	0.710	-0.045	F
0.522	0.454	-0.154	F
0.011	0.733	-0.014	F
0.006	1.165	0.271	F
0.038	0.737	0.252	F
