px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.936	0.902	-0.219	F
-0.472	0.712	-0.650	F
-0.264	0.839	0.186	F
-0.347	0.802	0.081	F
-0.007	0.566	0.422	F
-0.313	0.891	0.316	F
-0.506	0.376	0.001	F
-0.810	0.560	-0.174	F
-0.428	0.661	-0.255	F
-0.112	0.449	-0.166	F
-0.707	0.616	-0.046	F
0.003	0.751	-0.069	F
-0.578	0.579	-0.033	F
-0.135	0.450	0.564	F
0.021	0.745	0.230	F
-0.249	0.795	0.078	F
-0.134	0.688	-0.101	F
-0.238	0.458	0.335	F
0.053	0.785	-0.280	F
-0.249	0.665	-0.565	F
0.053	1.444	0.214	F
0.007	0.732	-0.007	F
-0.171	0.616	0.367	F
-0.173	0.783	0.731	F
