px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.786	0.884	-0.257	F
0.267	0.528	-0.116	F
-0.296	0.767	0.314	F
-0.335	0.802	0.090	F
-0.069	0.498	0.480	F
-0.383	0.908	0.370	F
-0.534	0.402	0.166	F
-0.758	0.584	-0.164	F
-0.258	0.692	-0.156	F
-0.084	0.386	-0.053	F
-0.599	0.572	-0.085	F
-0.011	0.715	0.047	F
-0.513	0.516	0.100	F
-0.145	0.354	0.678	F
-0.044	0.774	0.440	F
-0.259	0.797	0.084	F
-0.003	0.802	0.149	F
-0.246	0.422	0.381	F
0.188	0.612	0.053	F
0.092	0.662	-0.075	F
-0.441	1.403	-0.079	F
0.003	0.732	-0.003	F
-0.220	0.559	0.479	F
-0.288	0.815	0.786	F
