px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.092	0.722	0.024	F
0.189	0.564	-0.195	F
0.227	0.880	-0.033	F
-0.042	0.560	0.383	F
0.558	0.477	-0.355	F
0.538	0.710	-0.033	F
0.863	0.447	0.186	F
0.476	0.542	0.212	F
0.033	0.686	0.182	F
0.387	0.582	-0.076	F
0.332	0.715	-0.240	F
0.482	0.901	0.019	F
0.017	0.685	-0.375	F
0.551	0.163	0.313	F
-0.025	0.729	-0.021	F
0.323	0.687	0.044	F
0.650	0.714	-0.473	F
0.313	1.579	-0.269	F
0.493	0.951	-0.273	F
-0.074	0.716	0.074	F
0.446	0.893	0.033	F
0.055	0.740	-0.001	F
-0.123	0.752	-0.067	F
0.452	0.713	-0.340	F
