px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.940	0.882	-0.286	F
-0.571	0.781	-0.560	F
-0.272	0.846	0.202	F
-0.358	0.804	0.089	F
-0.060	0.534	0.424	F
-0.352	0.901	0.345	F
-0.510	0.372	-0.000	F
-0.812	0.559	-0.175	F
-0.482	0.675	-0.179	F
-0.128	0.443	-0.157	F
-0.689	0.616	-0.082	F
-0.007	0.732	-0.001	F
-0.586	0.564	-0.003	F
-0.136	0.440	0.576	F
-0.015	0.765	0.274	F
-0.267	0.798	0.085	F
-0.156	0.708	-0.084	F
-0.242	0.450	0.345	F
0.052	0.781	-0.268	F
-0.677	0.865	-0.379	F
-0.501	1.556	0.339	F
0.007	0.732	-0.007	F
-0.193	0.619	0.375	F
-0.259	0.810	0.765	F
