px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.047	0.758	0.079	F
-0.142	0.820	0.142	F
0.221	0.892	-0.014	F
-0.043	0.563	0.379	F
0.070	0.775	-0.251	F
0.559	0.721	-0.063	F
0.857	0.451	0.186	F
0.475	0.541	0.209	F
0.038	0.682	0.194	F
0.117	1.010	-0.062	F
0.291	0.807	-0.120	F
0.453	0.895	0.010	F
0.030	0.673	-0.359	F
-0.541	0.914	-0.121	F
-0.031	0.728	-0.020	F
0.249	0.686	-0.032	F
0.176	0.677	-0.321	F
0.412	1.592	-0.162	F
0.491	0.950	-0.268	F
-0.143	0.584	-0.180	F
0.508	0.906	0.037	F
0.051	0.740	-0.000	F
-0.124	0.752	-0.068	F
0.292	0.792	-0.427	F
