px	py	pz
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.025	0.731	0.022	F
-0.036	0.654	0.197	F
0.146	0.721	0.028	F
0.052	0.715	-0.051	F
-0.326	0.742	0.229	F
0.021	0.477	-0.353	F
-0.054	0.639	0.228	F
-0.292	0.852	-0.048	F
-0.047	0.240	-0.062	F
0.200	0.716	-0.255	F
-0.027	0.737	0.080	F
-0.239	0.925	-0.556	F
-0.116	0.797	0.524	F
-0.215	0.633	-0.194	F
-0.451	0.896	-0.200	F
0.018	0.652	-0.185	F
-0.285	0.595	-0.239	F
0.021	0.617	-0.326	F
-0.352	0.907	0.381	F
-0.022	0.721	0.053	F
-0.402	0.699	-0.082	F
-0.226	0.809	0.057	F
-0.520	0.735	-0.249	F
-0.253	0.615	-0.653	F
