px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.096	0.643	0.379	F
0.197	0.742	0.094	F
0.153	0.660	0.318	F
0.221	1.146	0.059	F
0.029	0.730	0.013	F
-0.359	0.931	0.442	F
-0.044	0.701	-0.144	F
-0.165	0.804	0.020	F
-0.028	0.744	-0.083	F
-0.020	0.807	0.268	F
-0.136	0.847	-0.244	F
0.217	0.668	0.046	F
-0.066	0.785	0.472	F
0.001	0.731	-0.001	F
-0.331	0.803	0.121	F
0.424	0.630	0.135	F
0.157	0.696	-0.022	F
-0.225	0.507	0.233	F
0.346	0.813	0.411	F
-0.139	0.655	0.228	F
0.052	0.745	-0.042	F
-0.113	0.717	-0.345	F
-0.029	0.737	0.072	F
0.053	0.802	-0.318	F
