px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.085	0.744	0.068	F
-0.122	0.809	0.122	F
0.225	0.894	-0.019	F
-0.044	0.557	0.388	F
0.067	0.778	-0.260	F
0.585	0.712	-0.057	F
0.868	0.443	0.191	F
0.479	0.534	0.194	F
0.037	0.683	0.193	F
0.119	0.988	-0.112	F
0.262	0.762	-0.209	F
0.452	0.894	0.012	F
0.066	0.613	-0.352	F
-0.543	0.915	-0.122	F
-0.030	0.728	-0.020	F
0.230	0.684	-0.046	F
0.238	0.474	-0.229	F
0.427	1.593	-0.169	F
0.501	0.952	-0.261	F
-0.173	0.565	-0.182	F
0.507	0.906	0.038	F
0.054	0.740	-0.001	F
-0.115	0.751	-0.064	F
0.271	0.743	-0.448	F
