px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.588	0.918	-0.011	F
-0.172	0.676	0.151	F
-0.083	0.683	0.119	F
0.034	0.727	0.118	F
0.408	0.447	0.061	F
-0.044	0.756	-0.264	F
-0.010	0.748	-0.125	F
0.125	0.721	0.027	F
-0.055	0.873	-0.373	F
-0.128	0.733	-0.028	F
0.094	0.566	-0.377	F
0.206	0.876	-0.313	F
0.446	0.898	0.068	F
0.010	0.732	-0.112	F
0.252	0.590	0.219	F
0.332	0.487	0.275	F
0.048	0.726	0.027	F
-0.076	0.756	-0.140	F
-0.049	0.731	0.017	F
0.004	0.729	0.042	F
0.148	0.656	0.130	F
0.403	0.849	-0.159	F
-0.002	0.732	-0.003	F
0.229	0.750	-0.021	F
