px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.070	0.750	0.073	F
-0.132	0.816	0.138	F
0.209	0.885	-0.045	F
-0.044	0.562	0.380	F
0.063	0.781	-0.264	F
0.495	0.378	-0.107	F
0.857	0.451	0.185	F
0.477	0.560	0.209	F
0.034	0.685	0.191	F
0.104	0.961	-0.135	F
0.115	0.691	-0.244	F
0.455	0.895	0.009	F
0.021	0.583	-0.345	F
-0.552	0.916	-0.124	F
-0.036	0.727	-0.022	F
0.276	0.680	-0.015	F
-0.088	0.525	-0.358	F
0.146	1.592	0.171	F
0.479	0.949	-0.287	F
0.107	0.617	-0.379	F
0.491	0.903	0.034	F
0.052	0.740	-0.001	F
-0.118	0.751	-0.066	F
0.305	0.748	-0.423	F
