px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.925	0.917	-0.153	F
-0.422	0.619	-0.764	F
-0.281	0.849	0.211	F
-0.558	0.812	0.152	F
-0.063	0.531	0.430	F
-0.366	0.905	0.360	F
-0.516	0.322	-0.102	F
-0.830	0.550	-0.177	F
-0.440	0.672	-0.219	F
-0.129	0.429	-0.134	F
-0.709	0.603	-0.017	F
-0.006	0.726	0.012	F
-0.552	0.568	-0.002	F
-0.139	0.417	0.605	F
-0.021	0.769	0.319	F
-0.198	0.808	0.106	F
0.013	0.755	0.053	F
-0.233	0.478	0.308	F
0.084	0.756	-0.213	F
-0.265	0.680	-0.548	F
-0.234	1.551	0.486	F
0.003	0.732	-0.008	F
-0.143	0.572	0.419	F
-0.268	0.809	0.782	F
