px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.876	0.910	-0.183	F
-0.516	0.737	-0.621	F
-0.177	0.816	0.139	F
-0.413	0.809	0.109	F
-0.059	0.535	0.423	F
-0.318	0.892	0.319	F
-0.464	0.354	-0.139	F
-0.801	0.565	-0.172	F
-0.323	0.674	-0.059	F
-0.078	0.439	-0.142	F
-0.666	0.594	-0.057	F
-0.013	0.727	0.015	F
-0.572	0.577	-0.027	F
-0.135	0.451	0.563	F
0.012	0.749	0.237	F
-0.250	0.795	0.079	F
-0.131	0.654	-0.153	F
-0.239	0.453	0.341	F
-0.027	0.843	-0.456	F
0.031	0.695	-0.097	F
0.201	1.273	0.126	F
-0.001	0.732	-0.001	F
-0.007	0.646	0.199	F
-0.399	0.866	0.735	F
