px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.914	0.915	-0.166	F
-0.482	0.715	-0.648	F
-0.042	0.788	0.103	F
-0.314	0.799	0.077	F
-0.003	0.546	0.436	F
-0.262	0.870	0.335	F
-0.447	0.363	-0.154	F
-0.737	0.595	-0.157	F
-0.395	0.648	-0.247	F
-0.045	0.478	-0.206	F
-0.678	0.643	-0.044	F
0.002	0.741	-0.029	F
-0.594	0.612	-0.109	F
-0.133	0.479	0.525	F
0.039	0.731	0.193	F
-0.228	0.792	0.074	F
-0.117	0.659	-0.142	F
-0.234	0.463	0.328	F
-0.067	0.864	-0.544	F
-0.257	0.651	-0.598	F
-0.526	1.488	0.324	F
0.007	0.732	-0.007	F
-0.149	0.600	0.378	F
-0.157	0.770	0.755	F
