px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.108	0.714	0.017	F
-0.158	0.828	0.158	F
0.228	0.898	0.000	F
-0.039	0.569	0.367	F
0.078	0.763	-0.216	F
0.575	0.719	-0.066	F
0.856	0.452	0.184	F
0.472	0.535	0.211	F
0.035	0.683	0.191	F
0.068	1.023	-0.024	F
0.155	0.947	-0.218	F
0.439	0.891	0.010	F
0.071	0.697	-0.372	F
-0.561	0.918	-0.123	F
-0.031	0.729	-0.021	F
0.226	0.692	-0.050	F
0.179	0.686	-0.305	F
0.427	1.594	-0.168	F
0.504	0.952	-0.251	F
-0.166	0.571	-0.178	F
0.543	0.913	0.039	F
0.050	0.739	-0.001	F
-0.120	0.752	-0.066	F
0.257	0.780	-0.446	F
