px	py	pz
0.841	-1.000	0.540
0.909	-1.000	-0.416
0.141	-1.000	-0.990
-0.757	-1.000	-0.654
-0.959	-1.000	0.284
-0.279	-1.000	0.960
-0.128	0.776	-0.111
-0.045	0.623	-0.185
-0.004	0.732	-0.001
-0.003	0.733	-0.002
0.005	0.733	0.010
0.046	0.711	-0.014
-0.144	0.821	0.145
0.153	0.768	0.132
-0.246	0.724	-0.053
-0.086	0.725	-0.229
0.124	0.672	0.107
-0.156	0.670	-0.133
0.006	0.729	-0.009
-0.185	0.594	0.096
0.001	0.732	0.005
0.005	0.730	-0.006
0.005	0.733	0.010
0.000	0.732	0.000
0.007	0.736	-0.012
0.084	0.603	-0.179
-0.043	0.749	0.012
-0.004	0.745	0.036
-0.066	0.814	-0.172
-0.001	0.732	-0.002
