px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.026	0.726	-0.004	F
-0.000	0.732	-0.000	F
0.089	0.716	0.081	F
0.251	0.818	0.204	F
-0.410	0.517	0.180	F
-0.030	0.735	-0.051	F
-0.369	0.811	0.107	F
0.044	0.738	0.065	F
-0.123	0.701	-0.364	F
-0.301	0.713	-0.065	F
0.303	0.834	-0.133	F
-0.046	0.731	0.019	F
0.230	0.562	-0.154	F
-0.095	0.731	-0.051	F
0.201	0.610	0.140	F
-0.108	0.770	0.162	F
-0.146	0.732	-0.111	F
0.103	0.716	-0.041	F
-0.349	0.837	0.066	F
-0.380	0.762	0.205	F
-0.081	0.504	0.477	F
0.079	0.705	-0.146	F
0.042	0.748	-0.044	F
0.168	0.476	0.345	F
