px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.082	0.740	0.053	F
-0.152	0.825	0.152	F
0.234	0.894	0.013	F
-0.042	0.564	0.378	F
0.085	0.761	-0.220	F
0.565	0.718	-0.059	F
0.848	0.452	0.183	F
0.469	0.529	0.222	F
0.037	0.680	0.195	F
0.083	1.042	-0.013	F
0.180	0.943	-0.194	F
0.444	0.865	0.017	F
0.055	0.723	-0.363	F
-0.553	0.917	-0.121	F
-0.030	0.728	-0.020	F
0.226	0.683	-0.039	F
0.181	0.687	-0.305	F
0.399	1.595	-0.153	F
0.511	0.951	-0.227	F
-0.151	0.576	-0.188	F
0.546	0.913	0.039	F
0.048	0.739	-0.001	F
-0.121	0.752	-0.066	F
0.273	0.748	-0.439	F
