px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.936	0.914	-0.167	F
-0.416	0.613	-0.769	F
-0.285	0.848	0.208	F
-0.562	0.812	0.153	F
-0.062	0.532	0.428	F
-0.365	0.904	0.355	F
-0.513	0.378	0.023	F
-0.834	0.548	-0.178	F
-0.442	0.675	-0.222	F
-0.131	0.431	-0.137	F
-0.712	0.606	-0.022	F
-0.005	0.729	0.003	F
-0.554	0.569	-0.005	F
-0.139	0.419	0.603	F
-0.022	0.769	0.309	F
-0.172	0.797	0.089	F
0.012	0.754	0.051	F
-0.233	0.478	0.307	F
0.086	0.754	-0.209	F
-0.262	0.677	-0.551	F
-0.486	1.562	0.302	F
0.003	0.732	-0.008	F
-0.149	0.574	0.418	F
-0.265	0.812	0.768	F
