px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.049	0.761	0.084	F
-0.238	0.865	0.239	F
0.225	0.885	-0.021	F
-0.047	0.550	0.400	F
0.296	0.688	-0.449	F
0.562	0.721	-0.063	F
0.860	0.449	0.185	F
0.485	0.575	0.251	F
0.035	0.684	0.189	F
0.102	0.938	0.018	F
0.310	0.822	-0.092	F
0.468	0.898	0.018	F
0.025	0.697	-0.366	F
-0.549	0.916	-0.122	F
-0.027	0.729	-0.019	F
0.293	0.688	0.037	F
0.133	0.677	-0.224	F
0.458	1.585	-0.121	F
0.498	0.951	-0.265	F
-0.139	0.659	0.004	F
0.496	0.904	0.034	F
0.055	0.740	-0.001	F
-0.120	0.752	-0.066	F
0.464	0.799	-0.311	F
