px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.994	0.934	-0.065	F
-0.555	0.739	-0.623	F
-0.186	0.761	0.024	F
-0.387	0.807	0.104	F
-0.075	0.526	0.445	F
-0.372	0.907	0.367	F
-0.523	0.408	0.134	F
-0.834	0.549	-0.176	F
-0.398	0.732	-0.192	F
-0.106	0.484	-0.233	F
-0.774	0.613	0.065	F
-0.008	0.732	-0.003	F
-0.632	0.602	-0.095	F
-0.503	0.260	0.329	F
-0.046	0.775	0.393	F
-0.222	0.790	0.073	F
-0.384	0.659	-0.148	F
-0.240	0.460	0.331	F
-0.610	0.726	-0.605	F
-0.331	0.708	-0.546	F
-0.136	1.520	0.230	F
0.003	0.732	0.000	F
-0.268	0.296	-0.291	F
-0.262	0.810	0.768	F
