px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.383	0.809	-0.189	F
-0.299	0.829	0.089	F
0.070	0.690	0.116	F
-0.029	0.726	0.095	F
0.190	0.602	0.166	F
-0.104	0.774	-0.155	F
0.039	0.720	-0.022	F
0.227	0.576	0.196	F
0.046	0.565	-0.342	F
0.007	0.733	0.010	F
0.029	0.723	-0.057	F
0.075	0.759	-0.125	F
0.010	0.729	0.064	F
-0.060	0.745	-0.008	F
-0.106	0.657	0.262	F
0.024	0.676	0.231	F
-0.232	0.837	-0.099	F
0.299	0.833	-0.176	F
-0.266	0.841	-0.271	F
-0.347	0.506	0.015	F
-0.059	0.732	-0.120	F
-0.354	0.666	-0.004	F
-0.398	0.846	0.113	F
-0.280	0.479	-0.203	F
