px	py	pz
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.376	0.763	-0.286	F
-0.064	0.747	-0.086	F
0.015	0.732	-0.005	F
0.230	0.881	-0.320	F
0.160	0.496	0.300	F
0.335	0.385	-0.350	F
-0.238	0.633	-0.290	F
-0.085	0.714	-0.015	F
0.374	0.543	-0.127	F
-0.416	0.495	-0.362	F
0.067	0.708	-0.005	F
-0.138	0.702	-0.510	F
-0.538	0.664	-0.117	F
-0.221	0.566	0.095	F
0.155	0.851	-0.506	F
-0.014	0.743	-0.072	F
0.407	0.492	-0.116	F
-0.462	0.456	-0.399	F
0.316	0.678	-0.480	F
0.048	0.731	-0.029	F
-0.103	0.420	-0.435	F
0.340	0.664	-0.533	F
0.395	0.352	0.294	F
-0.057	0.755	0.095	F
