px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.128	0.540	0.316	F
0.190	0.747	0.073	F
0.163	0.639	0.178	F
-0.250	0.889	-0.137	F
0.087	0.684	0.171	F
-0.201	0.946	0.495	F
-0.037	0.696	-0.193	F
-0.240	0.833	-0.032	F
-0.071	0.730	-0.126	F
-0.063	0.732	-0.015	F
-0.132	0.847	-0.273	F
0.193	0.587	0.203	F
-0.088	0.801	0.420	F
0.006	0.733	-0.006	F
-0.325	0.802	0.096	F
0.319	0.540	0.270	F
0.214	0.678	0.008	F
-0.313	0.479	0.129	F
0.087	0.751	0.035	F
-0.144	0.647	0.259	F
0.058	0.739	-0.040	F
-0.025	0.727	-0.038	F
-0.001	0.731	0.002	F
0.060	0.804	-0.344	F
