px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.202	0.611	0.243	F
0.320	0.643	0.008	F
-0.203	0.665	-0.497	F
0.016	0.733	0.014	F
-0.265	0.587	0.095	F
0.119	0.667	0.386	F
0.072	0.736	0.063	F
0.079	0.805	-0.402	F
-0.214	0.753	0.181	F
0.176	0.740	0.262	F
0.207	0.607	0.549	F
-0.042	0.763	-0.286	F
-0.053	0.692	-0.167	F
0.101	0.730	-0.038	F
0.003	0.734	0.067	F
-0.060	0.721	-0.047	F
0.304	0.548	-0.052	F
-0.112	0.708	-0.270	F
0.033	0.730	-0.213	F
0.304	0.423	-0.329	F
0.059	0.730	-0.005	F
-0.043	0.755	0.084	F
-0.143	0.758	-0.195	F
0.043	0.826	-0.287	F
