px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.068	0.748	0.067	F
-0.118	0.806	0.115	F
0.223	0.892	-0.018	F
-0.044	0.559	0.384	F
0.078	0.775	-0.265	F
0.576	0.716	-0.061	F
0.862	0.448	0.185	F
0.474	0.538	0.205	F
0.036	0.684	0.190	F
0.114	0.993	-0.106	F
0.261	0.768	-0.193	F
0.448	0.893	0.008	F
0.052	0.625	-0.357	F
-0.547	0.915	-0.122	F
-0.032	0.728	-0.021	F
0.231	0.683	-0.052	F
0.236	0.480	-0.240	F
0.424	1.592	-0.164	F
0.496	0.951	-0.265	F
-0.178	0.567	-0.169	F
0.520	0.909	0.037	F
0.051	0.740	-0.001	F
-0.122	0.752	-0.067	F
0.274	0.741	-0.455	F
