px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.075	0.737	0.047	F
-0.167	0.832	0.166	F
0.231	0.866	-0.024	F
-0.049	0.550	0.400	F
0.012	0.802	-0.253	F
0.567	0.730	-0.084	F
0.851	0.454	0.186	F
0.464	0.526	0.219	F
0.031	0.691	0.160	F
0.073	1.032	-0.024	F
0.170	0.948	-0.194	F
0.461	0.897	0.007	F
0.030	0.710	-0.382	F
-0.569	0.919	-0.127	F
-0.035	0.728	-0.024	F
0.356	0.817	-0.226	F
0.159	0.685	-0.291	F
0.773	1.346	0.144	F
0.477	0.948	-0.281	F
0.135	0.560	-0.493	F
0.483	0.901	0.036	F
0.048	0.740	0.008	F
-0.125	0.752	-0.067	F
0.133	0.873	-0.513	F
