px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.010	0.735	0.025	F
-0.040	0.786	0.477	F
-0.060	0.933	0.036	F
-0.202	0.509	-0.284	F
-0.374	0.897	0.056	F
0.184	0.465	-0.429	F
-0.007	0.738	-0.011	F
-0.136	0.891	-0.409	F
0.148	0.794	-0.052	F
0.065	0.474	0.131	F
0.466	0.805	-0.192	F
0.188	0.857	-0.252	F
0.322	0.798	0.260	F
0.132	1.172	0.122	F
-0.138	1.824	-0.111	F
0.188	0.830	-0.293	F
0.071	0.688	-0.041	F
-0.615	1.158	0.324	F
-0.288	0.832	-0.003	F
0.096	0.688	0.320	F
-0.138	0.830	-0.225	F
-2.253	0.165	-1.289	F
0.058	0.760	0.005	F
-0.200	1.168	-0.110	F
