px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.929	0.915	-0.166	F
-0.508	0.735	-0.623	F
-0.241	0.841	0.192	F
-0.356	0.803	0.087	F
-0.061	0.534	0.425	F
-0.341	0.899	0.341	F
-0.501	0.373	-0.020	F
-0.802	0.565	-0.172	F
-0.433	0.657	-0.240	F
-0.107	0.442	-0.151	F
-0.701	0.595	-0.021	F
-0.008	0.730	0.006	F
-0.577	0.577	-0.028	F
-0.135	0.442	0.574	F
-0.006	0.760	0.270	F
-0.263	0.797	0.084	F
-0.132	0.688	-0.100	F
-0.240	0.448	0.349	F
0.039	0.795	-0.306	F
-0.290	0.680	-0.567	F
-0.409	1.567	0.341	F
0.007	0.732	-0.008	F
-0.151	0.611	0.364	F
-0.287	0.821	0.765	F
