px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.906	0.948	0.029	F
-0.505	0.725	-0.636	F
-0.114	0.784	0.077	F
-0.336	0.802	0.086	F
-0.060	0.534	0.425	F
-0.343	0.898	0.340	F
-0.503	0.449	0.241	F
-0.773	0.579	-0.163	F
-0.386	0.650	-0.139	F
-0.066	0.448	-0.158	F
-0.832	0.545	0.282	F
-0.005	0.730	0.005	F
-0.605	0.546	0.026	F
-0.136	0.447	0.567	F
0.007	0.754	0.268	F
-0.237	0.793	0.077	F
-0.155	0.600	-0.158	F
-0.240	0.448	0.348	F
-0.726	0.960	-0.257	F
-0.480	0.811	-0.413	F
-0.157	1.515	0.149	F
-0.001	0.732	-0.000	F
-0.238	0.753	0.158	F
-0.295	0.825	0.761	F
