px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.239	0.521	0.176	F
0.170	0.740	0.106	F
0.151	0.642	0.166	F
0.161	1.121	0.016	F
-0.001	0.728	0.031	F
-0.129	0.936	0.476	F
-0.081	0.784	0.477	F
-0.226	0.834	-0.066	F
0.004	0.747	-0.114	F
0.004	0.631	-0.222	F
-0.119	0.871	-0.332	F
0.044	0.713	0.053	F
-0.060	0.782	0.380	F
0.088	0.813	0.299	F
-0.420	0.809	0.120	F
0.269	0.569	0.248	F
0.208	0.678	0.004	F
-0.333	0.490	0.041	F
-0.266	0.759	0.134	F
-0.133	0.663	0.221	F
0.077	0.745	-0.043	F
-0.069	0.708	-0.134	F
-0.036	0.732	-0.003	F
0.047	0.805	-0.306	F
