px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.150	0.543	0.275	F
0.169	0.743	0.072	F
0.132	0.647	0.181	F
0.104	1.126	0.127	F
0.006	0.721	0.074	F
-0.107	0.944	0.510	F
-0.029	0.702	-0.175	F
-0.255	0.839	-0.031	F
-0.032	0.743	-0.101	F
-0.048	0.727	-0.043	F
0.546	0.355	-0.049	F
0.143	0.679	0.059	F
-0.041	0.777	0.441	F
-0.009	0.735	-0.023	F
-0.376	0.806	0.118	F
0.295	0.557	0.254	F
0.201	0.684	-0.012	F
-0.314	0.499	0.063	F
0.089	0.751	0.040	F
-0.268	0.655	0.357	F
0.057	0.744	-0.037	F
-0.028	0.728	-0.031	F
-0.028	0.725	0.037	F
0.055	0.806	-0.351	F
