px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.933	0.914	-0.169	F
-0.503	0.742	-0.612	F
-0.243	0.841	0.191	F
-0.344	0.802	0.082	F
-0.031	0.554	0.415	F
-0.345	0.899	0.340	F
-0.502	0.371	-0.021	F
-0.804	0.564	-0.172	F
-0.434	0.659	-0.245	F
-0.110	0.446	-0.159	F
-0.706	0.607	-0.033	F
0.002	0.754	-0.081	F
-0.578	0.580	-0.033	F
-0.135	0.445	0.571	F
-0.009	0.763	0.260	F
-0.260	0.797	0.083	F
-0.130	0.689	-0.099	F
-0.236	0.458	0.335	F
0.039	0.795	-0.307	F
-0.268	0.674	-0.564	F
-0.414	1.567	0.341	F
0.007	0.732	-0.008	F
-0.154	0.612	0.363	F
-0.273	0.817	0.759	F
