px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
-0.040	0.759	0.144	F
-0.073	0.738	0.001	F
0.081	0.738	0.121	F
-0.249	0.865	-0.370	F
0.071	0.747	-0.023	F
-0.202	0.669	-0.036	F
-0.084	0.495	-0.372	F
0.292	0.881	-0.124	F
0.063	0.735	-0.111	F
-0.303	0.578	-0.271	F
-0.116	0.693	-0.192	F
-0.021	0.729	0.017	F
-0.043	0.734	-0.143	F
0.167	0.750	0.021	F
0.170	0.766	-0.334	F
0.462	0.657	0.080	F
0.243	0.557	0.215	F
-0.091	0.707	-0.128	F
-0.180	0.536	0.237	F
-0.027	0.822	0.356	F
0.001	0.736	0.017	F
0.051	0.723	0.092	F
0.445	0.811	-0.227	F
-0.012	0.720	0.093	F
